strategy,ticker,tf,rr,stop_mult,target_mult,long_only,n_trades,win_rate_pct,avg_r,expectancy_r,profit_factor,net_pnl_dollars,trades_per_day,max_consec_losses,max_dd_dollars,max_dd_pct,recovery_days,sharpe_R,kelly_pct,slip_atr_frac,survival_score,n_train,n_test,test_win_rate_pct,test_avg_r
ema_cross_12_26,GBPJPY,D1,1.0,1.5,1.5,True,33,72.73,0.3611,0.3611,2.421,1982.9,0.012,2,470.77,0.47,385.0,0.398,45.45,0.05,-136.39,24,9,88.89,0.6901
ema_cross_9_20,GBPJPY,D1,1.0,1.5,1.5,True,43,69.77,0.3025,0.3025,1.869,1954.82,0.015,3,845.41,0.84,397.0,0.325,39.53,0.05,-142.58,30,13,92.31,0.7551
ema_cross_12_26,USDJPY,D1,1.0,1.5,1.5,True,34,67.65,0.2377,0.2377,1.916,1007.65,0.012,3,484.25,0.48,349.0,0.249,35.29,0.05,-123.92,22,12,83.33,0.5728
ema_cross_9_20,USDSEK,D1,1.0,1.5,1.5,True,43,67.44,0.2552,0.2552,1.752,1808.4,0.015,4,665.98,0.66,349.0,0.269,34.88,0.05,-121.63,28,15,73.33,0.3755
ema_cross_12_26,USDSEK,D1,1.0,1.5,1.5,True,38,65.79,0.222,0.222,1.47,1141.55,0.013,3,929.11,0.92,595.0,0.231,31.58,0.05,-248.03,25,13,69.23,0.2931
donchian_55,US100.cash,D1,1.0,1.5,1.5,True,52,65.38,0.1361,0.1361,1.43,354.58,0.027,2,150.41,0.15,118.0,0.141,30.77,0.05,-6.81,30,22,68.18,0.2121
donchian_55,XAUUSD,D1,1.0,1.5,1.5,True,75,65.33,0.2279,0.2279,1.399,5839.04,0.027,3,2643.37,2.47,,0.238,30.67,0.05,26.56,36,39,61.54,0.1548
ema_cross_9_20,US30.cash,D1,1.0,1.5,1.5,True,34,64.71,0.1761,0.1761,1.532,573.6,0.013,4,464.21,0.46,840.0,0.181,29.41,0.05,-372.85,23,11,81.82,0.522
ema_cross_9_20,GER40.cash,D1,1.0,1.5,1.5,True,39,64.1,0.1258,0.1258,1.508,370.0,0.013,3,163.57,0.16,223.0,0.128,28.21,0.05,-63.89,22,17,58.82,0.0274
rsi_30_70,XPDUSD,H1,1.0,1.5,1.5,True,54,62.96,0.1728,0.1728,1.301,1959.27,0.109,3,1791.98,1.77,97.4,0.177,25.93,0.05,0.36,23,31,61.29,0.1475
rsi_30_70,EURUSD,M15,1.0,1.5,1.5,True,104,61.54,-0.2387,-0.2387,0.639,-228.94,0.902,3,239.75,0.24,,-0.241,23.08,0.05,-30.0,62,42,64.29,-0.1905
